file,class,method,variable,usage
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,br.ufc.great.syspromocity.util.GeradorSenha,"comparaSenhas/2[java.lang.String,java.lang.String]",encoder,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,br.ufc.great.syspromocity.util.GeradorSenha,criptografa/1[java.lang.String],encoder,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/security/WebSecurityConfig.java,br.ufc.great.syspromocity.security.WebSecurityConfig,configureGlobal/1[br.ufc.great.syspromocity.security.AuthenticationManagerBuilder],datasource,2
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,setCustomerService/1[br.ufc.great.syspromocity.service.CustomersService],customerService,3
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,"list/2[java.lang.Integer,br.ufc.great.syspromocity.controller.Model]",customerService,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,"edit/2[java.lang.Long,br.ufc.great.syspromocity.controller.Model]",customerService,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,"save/2[br.ufc.great.syspromocity.model.Customers,br.ufc.great.syspromocity.controller.RedirectAttributes]",customerService,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,delete/1[java.lang.Long],customerService,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,setUserService/1[br.ufc.great.syspromocity.service.UsersService],userService,3
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,setCouponService/1[br.ufc.great.syspromocity.service.CouponsService],couponService,3
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexStoreOwner/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",acesso,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexStoreOwner/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",userName,2
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexStoreOwner/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",myStoresService,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexStoreOwner/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",userService,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,checkAccessControl/0,acesso,2
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,br.ufc.great.syspromocity.controller.DashboardController,"indexAdmin/2[br.ufc.great.syspromocity.controller.Model,java.security.Principal]",acesso,1
