file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestStatisticController/0,false,47,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestCustomersService/0,false,17,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestUsersService/0,false,22,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestDashboardController/0,false,37,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestUserController/0,false,52,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestRepositorioController/0,false,42,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,contextLoads/0,false,13,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestAccessControlController/0,false,27,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,br.ufc.great.sysrepotd.SistemApplicationTests,TestCustomerController/0,false,32,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/repository/UsersRepository.java,br.ufc.great.syspromocity.repository.UsersRepository,findByUsername/1[java.lang.String],false,15,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/repository/MyStoresRepository.java,br.ufc.great.syspromocity.repository.MyStoresRepository,findByUser/1[br.ufc.great.syspromocity.model.Users],false,11,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/repository/CouponsRepository.java,br.ufc.great.syspromocity.repository.CouponsRepository,findByDescription/1[java.lang.String],false,12,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/SystemApplication.java,br.ufc.great.syspromocity.SystemApplication,main/1[java.lang.String[]],false,17,2,1,2,7,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,9,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,br.ufc.great.syspromocity.util.GeradorSenha,"comparaSenhas/2[java.lang.String,java.lang.String]",false,29,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,br.ufc.great.syspromocity.util.GeradorSenha,criptografa/1[java.lang.String],false,19,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",false,28,3,6,14,35,0,11,3,14,0,0,2,0,1,0,5,8,11,2,4,0,0,0,54,9,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/ManipuladorDatas.java,br.ufc.great.syspromocity.util.ManipuladorDatas,getCurrentDataTime/1[java.lang.String],false,14,0,1,1,5,1,2,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,22,9,0,true
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/security/WebSecurityConfig.java,br.ufc.great.syspromocity.security.WebSecurityConfig,configure/1[br.ufc.great.syspromocity.security.HttpSecurity],false,34,2,1,16,3,0,0,1,16,0,0,0,0,0,0,29,0,0,0,0,0,0,0,19,4,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/security/WebSecurityConfig.java,br.ufc.great.syspromocity.security.WebSecurityConfig,configureGlobal/1[br.ufc.great.syspromocity.security.AuthenticationManagerBuilder],false,65,8,2,9,15,0,4,1,9,0,0,0,0,0,0,6,0,4,0,1,0,0,0,22,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,setCustomerService/1[br.ufc.great.syspromocity.service.CustomersService],false,26,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,"list/2[java.lang.Integer,br.ufc.great.syspromocity.controller.Model]",false,36,5,1,6,11,1,4,2,6,0,0,0,0,0,0,6,4,4,3,0,0,0,0,10,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,index/0,false,31,1,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,"edit/2[java.lang.Long,br.ufc.great.syspromocity.controller.Model]",false,61,4,1,2,4,1,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,0,false
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,br.ufc.great.syspromocity.controller.CustomerController,"save/2[br.ufc.great.syspromocity.model.Customers,br.ufc.great.syspromocity.controller.RedirectAttributes]",false,69,4,1,2,5,1,1,2,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,11,1,0,false
