file,class,method,variable,usage
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/repository/UsersRepository.java,br.ufc.great.syspromocity.repository.UsersRepository,findByUsername/1[java.lang.String],username,0
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/repository/MyStoresRepository.java,br.ufc.great.syspromocity.repository.MyStoresRepository,findByUser/1[br.ufc.great.syspromocity.model.Users],user,0
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/repository/CouponsRepository.java,br.ufc.great.syspromocity.repository.CouponsRepository,findByDescription/1[java.lang.String],description,0
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/SystemApplication.java,br.ufc.great.syspromocity.SystemApplication,main/1[java.lang.String[]],args,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/SystemApplication.java,br.ufc.great.syspromocity.SystemApplication,main/1[java.lang.String[]],couponsPath,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/SystemApplication.java,br.ufc.great.syspromocity.SystemApplication,main/1[java.lang.String[]],uploadsPath,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,br.ufc.great.syspromocity.util.GeradorSenha,"comparaSenhas/2[java.lang.String,java.lang.String]",password,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,br.ufc.great.syspromocity.util.GeradorSenha,"comparaSenhas/2[java.lang.String,java.lang.String]",senhaCriptografada,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,br.ufc.great.syspromocity.util.GeradorSenha,criptografa/1[java.lang.String],valor,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",image,3
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",myFile,1
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",e,3
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",filePath,2
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",i,4
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",j,4
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",graphics,4
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",byteMatrix,2
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",hintMap,4
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",CrunchifyWidth,6
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",size,2
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",name,2
/Users/armandosoaressousa/git/syspromocity/src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,br.ufc.great.syspromocity.util.GeradorQRCode,"gerar/3[java.lang.String,java.lang.String,java.lang.String]",codeText,2
